,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,FXAZNEqui-8-,,tot-15-30,FXAZNEqui-15-,tot-31-60,FXAZNEqui-31-,tot-61-90,FXAZNEqui-61-,tot-91-120,FXAZNEqui-91-,tot-121-150,FXAZNEqui-121-,tot-151-180,FXAZNEqui-151-,tot-181-210,FXAZNEqui-181-,tot-211-240,FXAZNEqui-211-,tot-241-270,FXAZNEqui-241-,tot-271-300,FXAZNEqui-271-,tot-301-300,FXAZNEqui 301-,tot-331-365,FXAZNEqui-331-,tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
,,,,,,14,,,30,,60,,90,,120,,150,,180,,210,,240,,270,,300,,330,,365,,,,,,,,,,
,,insLia,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,totLia
1. Depozitlər (banklar və digər maliyyə müəssisələri istisna,"5.053.413,30","750.022,94","3.603,96","442,05","6.571,02",,"772,62","70.603,20","2.188,64","39.667,32","23.330,94","218.461,23","172.947,40","63.056,67","4.662,22","26.556,45","4.796,65","32.228,09","2.467,29","19.222,73","4.120,82","44.441,78","6.462,93","28.820,17","4.067,08","15.157,52","3.226,36","53.450,88","8.087,10","29.043,01","6.333,87","118.238,93","34.954,47","50.029,11","7.774,85","40.070,69","23,38","0,00","0,00","5.912.636,06","1.036.681,61"
"olmaqla), cəmi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) fiziki şəxslərin tələbli depozitlər,"1.231.510,37","214.367,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.231.510,37","214.367,99"
b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maliyyə institutlarının cari hesabları da daxil olmaqla) və çek,"3.821.462,74","535.396,90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.821.462,74","535.396,90"
hesabları  daxil olmaqla),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər,"440,19","258,05","3.603,96","442,05","6.571,02",,"772,62","14.603,20","2.188,64","33.067,32","19.930,94","20.899,63","3.385,80","63.056,67","4.662,22","24.556,45","4.796,65","21.228,09","2.467,29","19.222,73","4.120,82","23.441,78","6.462,93","25.320,17","4.067,08","15.157,52","3.226,36","53.450,88","8.087,10","27.043,01","6.333,87","85.338,93","14.554,47","50.029,11","7.774,85","40.070,69","23,38","0,00","0,00","527.101,35","93.555,12"
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli,"0,00","0,00","0,00","0,00","0,00",,"0,00","56.000,00","0,00","6.600,00","3.400,00","197.561,60","169.561,60","0,00","0,00","2.000,00","0,00","11.000,00","0,00","0,00","0,00","21.000,00","0,00","3.500,00","0,00","0,00","0,00","0,00","0,00","2.000,00","0,00","32.900,00","20.400,00","0,00","0,00","0,00","0,00","0,00","0,00","332.561,60","193.361,60"
depozitlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
